Type of session;Priority;Action Group;Session Code;Session Title;Date and time of the session;Date and time of the session2;Room;Session Summary;Session schedule;Keywords;Projects included;Convening organizations and session coordinators;Other organizers;Duration of the session;Expected outcomes
Ordinary Thematic Session;Water Security and Sanitation;1A Implement the Right to Water and Sanitation and provide access to safe water and sanitation in emergency situations ;1A1;Access to Water and Sanitation in crisis situation;Monday 21st of March from 14.00H to 15.30H;Monday 21st of March from 14.00H to 15.30H;Room 1;In crisis situations (conflict, disaster, epidemic), which are becoming increasingly long and complex, it is necessary to link the emergency humanitarian response to a more sustainable response as soon as the context allows it. This process, called the Humanitarian-Development Nexus, requires a good analysis of the situation, a relevant response defined with the population and the capacity to follow up over time. The Nexus implies cooperation with several types of national and international actors, complementary to each other, including the populations and their representatives in the framework of the water, sanitation and hygiene MDGs in particular. ;Introduction moderator 3 mn, video 5 mn, state of play of the crises and key figures in relation to MDG 6 5mn, water and health 5 mn, emergency response 5 mn, nexus Burkina Faso 10 mn, questions-answers and debate with the public 15mn, round table on financing 5mn, coordination of actors 5mn, questions-answers and debate with the public 15mn. Conclusion and political messages 5 mn. ;Crisis - humanitarian - development - coordination - partnership.;The session will be based on humanitarian projects and a major ongoing Nexus-type project for populations forcibly displaced in Burkina Faso due to insecurity. The project has a duration of 2 years and a budget of 3.8 million euros. ;"Solidarités Internationales
";Solidarités International (Alain Boinet, Baptiste Lecuyot, Allassane Traoré, Cristal), Epidémliogue RDC (Didier Bompangue Nkoko), ACF (Braem), CICR (Guillaume PierreHumbert), Cluster Wash Burkina Faso (Martina Rama)Un Samedi au Village (Perpétue Adité) Office National de l'Eau- ONEA (Ousma Pitroipa), Commission Européenne-DG ECHO (Luc Soenen), Agence Suisse pour le Développement et la Coopération-SDC (Marc André Bunzli), ;90';Strengthening of links with the Water-Sanitation-Hygiene Coordination in Dakar for West and Central Africa, with the Global Wash Cluster and UNICEF, with the Wash Road Map, the Nexus Burkina Faso project, with the French Water Partnership (FWP), the Water Coalition in view of the United Nations Conference on Water in 2023 Contacts with local authorities and companies present to build partnerships. Contact with the media and distribution of the 8th Barometer 2022 of water, hygiene and sanitation published by Solidarités International. 
Ordinary Thematic Session;Water Security and Sanitation;1A Implement the Right to Water and Sanitation and provide access to safe water and sanitation in emergency situations ;1A2;The Human Right to Water: Idealism to Implementation;Tuesday 22nd of March from 9.00H to 10.30H;Tuesday 22nd of March from 9.00H to 10.30H;Room 8;The Human Right to Water is a critical component of the international rights framework, and is a necessary component of the advancement of human society and development. Coming on the heels of the 10th anniversary of the UN General Assembly's adoption of Resolution 64/292's explicit right to water and with the 20th anniversary of the Committee on Economic, Social and Cultural Rights' General Comment 15 recognizing the human right to water coming later this year, this panel asks: where are we now and where are we going? This wide-reaching panel will bring together voices from the forefront of these efforts, showing how the law, education, journalism, technology, and development can help drive the next two decades of action.;"Part I. Introduction (2 minutes)
1. Welcome and Presentation of the Session; Acknowledgment of Consultative Group and Observance of All Protocols (2 minutes)

Part II. Global Growth of the Human Right to Water (49 minutes)
2. Introduction of Special Rapporteur for Water and Sanitation (1 minutes)

3. H.E. the Special Rapporteur Pedro Arrojo-Agudo (""Key challenges for the future achievement of the Human Right to Water"") (10 minutes)

4. Introduction of Panelists (2 minutes)

5. Panelist: Anjani Kapoor, Sanitation and Water for All Presentation on the Reissuance of the Handbook on Achieving the HR2W&S (9 minutes)

6. Panelist: Luke Wilson, Deputy Director of The Center for Water Security and Cooperation 
Title: Improving Legal Frameworks for HR2W: The next decade (9 minutes)

7. Panelist: Joseph Moukoue of RECOJAC 
Title: Activating Journalists: Accountability and Education on HR2W through Responsible Reporting (9 minutes)

8. Panelist: Representative of the United Nations
Title: The UN Human Rights Approach: Charting a Course to Meet the SDGs (9 minutes)

Part III. Projects Implementing the HR2W (37 minutes)
9. Presentation of Projects Implementing the HR2W (2 minutes)

Project One: Project to increase access to basic services in informal settlements in peri-urban and rural Casablanca (7 minutes)
Organization: Lydec
Proposed Speaker: Saadia Zouheir, INDH-INMAE Project Manager

Project Two: Innovative Approaches to providing basic services (7 minutes)
Organization: H3A
Proposed Speaker: Godwill Babalao, CEO H3A

Project Three: Building Respect for Water through Kids Wealth at School in Yaounde (KWESY) (7 minutes)
Organization: Water for Life Cameroon
Proposed Speaker: Pierre Alain Biboum

Project Four: Access to water: an essential human right for peace and development
(7 minutes)
Organization: Camide (Mali)
Proposed Speaker: Safiatou Traoré

Project Five: Presentation of Ongoing Projects (7 minutes)
Organization: UN High Commissioner for Human Rights-West Africa Office 
Proposed Speaker: Yaye Ba, UNHCHR

Part IV. Conclusions (2 minutes)
10. Thematic Summation & Concluding Remarks (2 minutes)

Total Time: 90 minutes
";Human rights, law, journalism, technology, development;"Project One: Project to increase access to basic services in informal settlements in peri-urban and rural Casablanca
Organization: Lydec

Project Two: Innovative Approaches to providing basic services
Organization: H3A

Project Three: Building Respect for Water through Kids Wealth at School in Yaounde (KWESY)
Organization: Water for Life Cameroon

Project Four: Access to water: an essential human right for peace and development (youth voice)
Organization: Camide (Mali)

Project Five: Presentation of Ongoing Projects
Organization: UN High Commissioner for Human Rights-West Africa Office 
";"The Center for Water Security and Cooperation; RECOJAC ";"UN Special Rapporteur for the Human Right to Water and Sanitation; RECOJAC; Center for Water Security and Cooperation; Sanitation and Water for All; The United Nations; The United Nations Office of the High Commissioner for Human Rights--West Africa; Camide; H3A; Water for Life Cameroon; Lydec.";90';"We believe that the session can be a springboard for fundamental changes in governance for the sector, and can provide a roadmap for organizations, governments, citizens and journalists to better harmonize and protect water and water access in their countries.  Building off of the past and creating a vision for the future will also demand a great deal of education, advocacy, technology, law, journalism and other efforts before and after the Forum, and we will be developing follow-on partnerships to deliver this during the period. 

The Forum is a chance to harness great hope, a reemerging world looking to solve problems, and a population who knows—now more than ever—how important water is. By staking a clear claim and setting a clear path for water, we believe that we can set the course for water for the next two decades."
Ordinary Thematic Session;Water Security and Sanitation;1A Implement the Right to Water and Sanitation and provide access to safe water and sanitation in emergency situations ;1A3;Strengthening the enabling environment for safely managed sanitation in Africa;Tuesday 22nd of March from 9.00H to 10.30H;Tuesday 22nd of March from 9.00H to 10.30H;Room 4;"Action Idea #3 has been divided into three projects: (1) Strengthening the enabling policy environment for safely managed sanitation; (2) Promote wide adoption of sanitation as a utility service and (3) Demonstration of emerging commercial to advance sanitation. Achieving sustainable sanitation requires combined efforts from multiple partners. Sessions under this action idea shall convene government stakeholders, regulators, private sector, and civil society actors. Government and regulators will be guided to embrace inclusive sanitation as a utility service through the showcasing of how advances in inclusive sanitation technology and commercial opportunities from CWIS pilots materialize sanitation policies. Participating decision makers, private sector, civil society organizations actors and communities will understand how inclusive sanitation policies contribute to the creation of a well-regulated environment for safely managed sanitation. ";A panel discussion moderated by the African Ministers’ Council on Water (AMCOW) convening Sanitation Ministers/focal points and/or institutional stakeholders to share information, best practices and past experiences insanitation policy making. Also convened in this discussion will private sector and utility representatives to highlight the contribution of technologies.;Enabling environment, policy, stakeholder engagement, technology, City wide inclusive sanitation, Sanitation service delivery ;"?	(1) Strengthening the enabling policy environment for safely managed sanitation
?	(2) Promote wide adoption of sanitation as a utility service
?	(3) Technological innovations a solution to advance sanitation
";AMCOW, Speak Up Africa & Bill and Melinda Gates Foundation;UNICEF, WHO, APHRC, Delvic, FSM Alliance, Senegalese Standards Association, CRANE Engineering, Sen Engineering, USAID WASHFIN, Pan African Sanitation Actors Association, AfWASA, ONAS;90';"o	Successful models of policy adoption of the ASPG highlighted
o	Commitments from governments, donors, and TA partners announced in support of sanitaiton policy development. 
o	Key areas of collaboration by sector stakeholders (development partners and countries) Specified. 
o	Innovative solutions enhance and transform existing sanitation solutions.
o	Innovators, manufacturers, and entrepreneurs of the non-sewered sanitation industry support country leaders and investors in the improvement of the fecal sludge management value chain.
o	Closed door negotiations result in commercial partnerships between country leaders, investors and other business stakeholders.
o	The role of utilities in providing sanitation and water services is recognized.
o	Clear institutional arrangements and stakeholder coordination are implemented.
"
Ordinary Thematic Session;Water Security and Sanitation;1B  Improve water quality and waste managemen;1B1;Address all kinds of water pollutions, including industrial pollutants and Contaminants of Emerging Concerns;Tuesday 22nd of March from 10.45H to 12.15H;Tuesday 22nd of March from 10.45H to 12.15H;Room 1;Water is an essential constituent for humans, and for life. Polluted water is often identified as the main vector to infectious pathogens, toxins and organic contaminants, which can be associated with a large number of chronic diseases worldwide. In the past decades, growth of human population and human activities have not only increased the quantity of waste discharged into water bodies, but also introduced emerging substances, including pollutants of industrial source, pharmaceuticals or micro plastics. ;"00:00 – Introduction : 
Club Jeunes IRD : About different water pollutions and their impact on health, ecosystems and the economy.  
00:05 – Framing the session by AFD moderator

00:07 Part 1 – IDENTIFY : identify sources of pollutions, their nature, their origin
(5min) Suez -  RSDE (research and reduction of discharges of hazardous substances) initiative on the origin of industrial pollutants -  Pol’solutions
(5 min) City of Paris – Comparative approach to water quality for bathing in Dakar, Tokyo and Paris 
00:20 10 min discussion with the audience – what solutions do you know to identify sources of pollution? (on an app or on a paperboard)

00:30 Part II – MONITOR : Implement evaluation and monitoring mechanisms 
(5min) UNEP – Monitoring Contaminants of Emerging Concerns 
(5min) SUEN – Evaluation of reuse of Agriculture water from the Covid 19 perspective 
00:40 10 min discussion – are current approaches sufficient to assess water quality? 

00:55 Part III – REDUCE : reduce the pollution load. When harm is done, what do we do? 
(5min) ONAS – Ground water rehabilitation in Senegal 
(5min) SIAAP – River Rehabilitation in the Philippines
(5min) ZDHC – Optimize processes and limit discharges of chemical pollutants in industry
1:15  10min discussion –How can we implement realistic standards and regulations for water pollutions? 
";"Water Pollution
Pollutants
Contaminants of Emerging Concern
Rehabilitation
Innovation
";"Project 1 - ONAS – Sénégal : Polluted groundwater recovery program to increase drinking water supply capacities and for economic activities in the city of Dakar, Senegal. 
Project 2 - AFD – France: reducing industrial pollution and launching a worldwide initiative to address it 
Project 3 - SIAAP – France: River rehabilitation in Manilla, Philippines
Project 4 – SUEN - Evaluation of Reuse of Used Water in Agriculture from the Covid-19 outbreak perspective ";"AFD
";IRD Youth Club / SUEZ/ CITY OF PARIS / UNEP / SUEN / ONAS / SIAAP / ZDHC;90';The objective of this session focusing on water pollutions, including industrial pollutants and Contaminants of Emerging Concerns, is to provide existing solutions and case studies on how to address the issue of water pollution, and to raise awareness about new kinds of pollutants which are not yet taken -or barely- into account in regulations, laws and water treatments. This session will be a useful way to gather knowledge on how to identify, monitor, and tackle some specific sources of pollutants, as well as better understand the issue of emerging contaminants. 
Ordinary Thematic Session;Water Security and Sanitation;1B  Improve water quality and waste managemen;1B2;Implementation of water quality protection through sound governance, using an inclusive multi-stakeholder approach and knowledge-based policymaking;Monday 21st of March from 14.00H to 15.30H;Monday 21st of March from 14.00H to 15.30H;Room 8;Maintaining water quality is crucial for efficient water resources management. Improving water quality can be achieved by more balanced and multidisciplinary approach to the research, policy-making, and practices. Sound governance, using an inclusive multi-stakeholder approach and knowledge-based policymaking, is a key to improve water security. The Session will provide elements for a better understanding of how governance, partnerships, inclusiveness and strong policies can make a significant change in water quality.;"- Brief Introduction
- Presentations on projects (8 minutes each) 
1. ‘DrinkPani’ : ‘Youth-led Participatory Sensing’ -YPS Model to enhance ‘Drinking Water Security’ (Technical University of Cologne, Germany)
2. Exploring the challenge of reducing eutroph";water quality governance, inclusiveness, partnerships, multi-stakeholder approach, and knowledge-based policymaking;"- ‘DrinkPani’ : ‘Youth-led Participatory Sensing’ -YPS Model to enhance ‘Drinking Water Security’ (Technical University of Cologne, Germany)
- Exploring the challenge of reducing eutrophication of water bodies and launching a worldwide initiative to addre";Institute for Global Environmental Strategies (IGES) and International Water Resources Association (IWRA);AFD, Technical University of Cologne, Mayor associations of Gorgol, Université Pierre & Marie Curie – La Sorbonne, City of Paris, SIWI, and Municipality of Barreiro;90';"- The Session will provide elements for a better understanding on how governance, partnerships, inclusiveness and strong policies can have a significant impact on the quality of water;
- The Session will present regional gaps on the issue; and 
- The outc"
Ordinary Thematic Session;Water Security and Sanitation;1B  Improve water quality and waste managemen;1B3;Apply Nature-Based Solutions including green infrastructure to improve water quality and resources;Thursday 24th of March from 13.30H to 15.00H;Thursday 24th of March from 13.30H to 15.00H;Room 10;"•	The need for solutions in managing water resources is obvious and strong from local to global context, which is vital to tackle emerging water security challenges caused by population growth and climate change. 

•	Nature-based solutions can play an important role in improving the supply and quality of water and reducing the impact of natural disasters. ‘Green’ infrastructure, as opposed to traditional ‘grey’ infrastructure, focuses on preserving the functions of ecosystems, both natural and built, and environmental engineering rather than civil engineering to improve the quality of water. 

•	The projects gathered under action 3 will concentrate on nature-based solutions and green infrastructure: how they can improve the quality of water and resources. Action 3 will show in many ways how impactful those solutions can be in project management, both in wastewater treatment and for ecosystems.
";"Welcome and Introduction (about 5 minutes)

1.	Presentations on proposed projects :

About 5-6 minutes presentation time for each project (max 20 min ) and around 15 minutes Q/A collectively before next section starts) -max. 35 in total

a.	Project 3.2 - AFD – France: Implement local Nature-based solutions for domestic wastewater treatment (Morroco)
b.	UNESCO IHP – Nature-based solutions to reducing emerging 
c.	AJPEAS (Youth Inclusion) – Senegal : Treatment and recovery of faecal sludge and wastewater for the protection of wetlands in Niayes, Dakar

Video Information/Pitch (5-6 minutes) : GWOPA/UN-Habitat- The Power of Peer-Partnerships to advance NBS/resilient water and sanitation service



2.	Panel discussion (followed by round table if possible with the space and resources)


Brief introduction of projects from panelists (2-3 mins each – max 15 mins)

a.	Suez – Case Study on the work in the south of France to recharge the coastal water tables to avoid salt water intrusion

b.	Project 3.4 – Ministry of Economy Palestine – Removal of Nitrate from drinking water using bio filters

c.	OECD – Experiences on Circular Economy and Nature-Based Solutions – A case study of NBS approach- Water Governance in Peru

d.	H3A – Case Study Benin- An atmospheric water generator with a large production capacity to a school of around one thousand children

Facilitate round table discussion on the challenges, opportunities, and contribution to SDG6, in relation to the projects and suggestions of facilitators (20 minutes)

Closing the session with short summary/reflection/remarks (about 10 minutes) 
";"1)	Nature-based solutions,
2)	Green infrastructure,
3)	Water quality and resources,
4)	Climate change
5)	Ecosystem services";"1.    Project 3.2 - AFD – France: Implement local Nature-based solutions for domestic wastewater treatment (Morroco)

2.    UNESCO IHP – Nature-based solutions to reducing emerging 

3.    AJPEAS (Youth Inclusion) – Senegal : Treatment and recovery of faecal sludge and wastewater for the ptotection of wetlands in Niayes,Dakar

4.	Suez – Case Study on the work in the south of France to recharge the coastal water tables to avoid salt water intrusion

5.	OECD – Experiences on Circular Economy and Nature-Based Solutions – A case study of NBS approach- Water Governance in Peru

6.	Project 3.4 – Ministry of Economy Palestine – Removal of Nitrate from drinking water using bio filters

7.	H3A – Case Study Benin- An atmospheric water generator with a large production capacity to a school of around one thousand children

Video Pitch: GWOPA/UN-Habitat- The Power of Peer-Partnerships to advance NBS/resilient water and sanitation service
";"?	Faculty of Spatial Development and Infrastructure Systems @Technical University of Cologne, Germany; drinkPani, Nepal";"?	GWOPA/UN-Habitat
?	UNESCO IHP
?	AFD
?	AJPEAS, Sénégal
?	Ministry of Economy, Palestine
?	OECD
?	Suez
?	H3A
?	Youth for the Rhine
?	World Youth Parliament for Water
";90';"-	Projects gathered under this session will concentrate on nature-based solutions and green infrastructure: how they can improve the quality of water and resources. 
-	Thus, it will show in many ways how impactful those solutions can be in project managem"
Ordinary Thematic Session;Water Security and Sanitation;1B  Improve water quality and waste managemen;1B4;Responses to have compliant sanitation systems that meet the needs of users and compliance with standards;Thursday 24th of March from 9.00H to 10.30H;Thursday 24th of March from 9.00H to 10.30H;Room 5;The response to meeting the need for sanitation systems is limited by their adaptability and may not meet environmental sustainability requirements. Many solutions are being shared around the world to address this situation, despite the intensity of the advocacy. Communities are eager to see, at long last, this conundrum properly addressed. During this World Water Forum, several answers including, among others expected at this World Water Forum, the best technologies responding to the site constraints will be made available by the world's experts.;"The timing of the session is as follows:
- Opening by the coordinator of the organization of the thematic session and reminder of some rules, in 5 minutes;
- Presentation of the general theme 1. B4 the KEYNOTE SPEAKER and it will be established the link with the key messages established by the speakers through the projects carried, for a duration of 5 mn;
- Presentation of the relevant projects selected at the end of the work of the Forum Groups (including those of the contributors) and of the labelled projects related to the theme for a total duration of 20 minutes;
- Remarks on these projects and the theme by the moderator for 5 minutes. The moderator will pose some questions to frame the interventions;
- Interactive discussions with the experts and all the participants under the guidance of the moderator, for a duration of 45 minutes;
- Synthesis by the Keynote speaker, in 5 minutes, of the discussions and key points to remember in order to provide answers to the various concerns raised in order to provide a basis for writing the reports;
- Closing by the coordinator of the organization of the thematic session, in 5 minutes.

";"Best technologies
Sanitation infrastructure
Response
Site constraints
Circular economy";"Coordonnateur de la session, 
Dr Papa Samba DIOP, CT/DG ONAS – Président du Conseil Scientifique et Technique de l’association africaine de l’eau et de l’assainissement (AAEA) papsambadiop@gmail.com 
1.	Le conférencier principal ou Keynote speaker en la personne de Mme Daniel Pedi, FBMG (anglophone, Etats Unis) Danielle.Pedi@gatesfoundation.org
2.	Le modérateur en la personne de Dr Dennis MWANZA, Chief of Party, Gender Aware Sustainable WASH 
                dennis.mwanza@dt-global.com
•	Les conférenciers porteurs de projets :
1.	M. Eric Judenne 
eric.judenne@suez.com ;
2.	Dr. Papa Samba Diop
papsambadiop@gmail.com;
3.	Monsieur Cheikh Mor Mbacké
cheikh.mbacke@txh2o.ca
4.	Mouhamadou GUEYE
mouhamadou.gueye@onas.sn

•	Les rapporteurs
1)	Dr. André NGUESSAN
Directeur chargé de la planification ONAD de Cote d’ivoire
nguessandre@yahoo.fr
a.nguessan@onad.ci
2)	Dr. Christine FAYE 
christineyafe@gmail.com
3)	PhD Lungi ZUMA
Directrice, Ethekwini municipality
Lungi uma@durban.gov.za
LUNGIZWA.Zuma@durban.gov.za

•	Les experts de divers horizons ont été invités selon les contacts disponibles et plusieurs ont déjà procédé à leur inscription
•	Les participants potentiels :
•	Dr Doulaye Koné ;
•	Dr Moustapha Sène
•	Mr Mouhamadou Gueye
•	Mme Géraldine Lopmo
•	Pr Yacouba Konatè
•	Pr Kourfia Diawara
•	Mme Maïmouna Dione
•	Mme Merry Diop
•	Dr Malal Touré
•	Phd Teddy Gordon
•	Dr Siméon Kenfack
•	Dr Mbaye Mbéguéré
•	Mr Jawad Jillali
•	Mr Abdrahmane Dembélé
•	Mr Mamadou Doumbia
•	Pr Maady Cissé
•	Mme Yacine Djigo
•	Mr Theophane Boutrolle
•	Madame OUATTARA née KABORE Fatoumata 
";;African Water and Sanitation Association (AAEA) - German Water Partnership (GWP) - AMCAOW - Bill and Melinda Gate Foundation - AFD ;90';"The reports should be well written in a balanced style to better inform the discussions and commitments of policy and funding partners. To this end, the scientific pole could propose a dedicated template that will facilitate the synthesis work of the pilot groups and others.
This is an interesting prerequisite to ensure the follow-up of the impact of the responses on the major decisions that will be taken on the one hand and the follow-up of their implementation after the forum by the dedicated team and the civil forum organizations."
Ordinary Thematic Session;Water Security and Sanitation;1C  Reduce water-related illness and deaths ;1C1;Building systemic resilience to future outbreaks – the role of hygiene;Tuesday 22nd of March from 10.45H to 12.15H;Tuesday 22nd of March from 10.45H to 12.15H;Room 2;See below;"1.	Opening remarks – Maria Neira, WHO 
2.	Presentation on key messages and calls to action made in the WHO and UNICEF’s State of the World’s Hand Hygiene report – Kelly-Ann Naylor, UNICEF  
3.	Panel of 3-5 government and civil society representatives to showcase examples of the five key ‘accelerators’ identified in the report and underpinning the UN-Water SDG 6 Global Acceleration Framework. Panellists will be prompted by a Chair to provide 5-minute interventions sharing their experiences of improving governance, financing, capacity, data and information or innovation to improve hand hygiene:
a.	On GOVERNANCE - Deputy Director of Environmental Health for South Africa (TBC). Describing how the country’s national handwashing policy, developed in 2015, clearly spelt out the roles of government institutions in promoting handwashing and providing services, and was instrumental in enabling the country to seamlessly mount a large-scale COVID-19 response effort.
b.	On FINANCE - Gov of Ethiopia representative. Describing recent efforts to develop a costed country roadmap for hand hygiene and plans for financing it 
c.	On CAPACITY – WASH ‘Em/COVID-19 Hygiene Hub representation – describing capacity needs of the service users, how these were met during the pandemic and what lessons we can learn for future outbreak response
d.	On … - GTFCC representation. Speaking on the experience of implementing GTFCC roadmap in countries. 
e.	On INNOVATION – Gov of Indonesia representative. Describing Indonesia’s COVID-19 innovative monitoring system, developed by the government with support from UNICEF, tracked compliance with the national “3M” mandate to wear masks, socially distance and practice hand hygiene in schools, shopping centres, mosques and transport stations. The system was remarkable in its scale. Initially led by the Office of the President, it engaged the army, CSOs and celebrities, and was administered by volunteers, trained via WhatsApp, using smartphones to collect data. Rather than being paid, volunteers were rewarded with mobile phone credit. The system provided a trustworthy source of data, based on structured observation, rather than less accurate self-reporting.
4.	Guided plenary discussion ";"Health 
Hygiene
SGD3
WASH";HH4A, WASH ‘Em, GTFCC Cholera Control Roadmap, GOARN/Global RCCE network?;WHO, UNICEF;WaterAid, LSHTM ;90';This session is one in a series of sessions over 2020-2022 that have sought to shine a spotlight on the critical role of hand hygiene in outbreak prevention and control, and as a cornerstone of public health more broadly. By sharing country experiences and lessons the desired outcome is a stimulating discussion on opportunities and challenges ahead. These will feed into the May 2022 Hygiene Summit in Singapore, where donors in particular will be mobilized, but also into the WHO-led process to strengthen the normative framework for hand hygiene through new Guidelines on hand hygiene in the community setting.
Ordinary Thematic Session;Water Security and Sanitation;1C  Reduce water-related illness and deaths ;1C2;Improving Quality Care Through WASH in Health Care Facilities: The Role of WASH in Health System Strengthening;Wednesday 23rd of March from 9.00H to 10.30H;Wednesday 23rd of March from 9.00H to 10.30H;Room 2;Water, sanitation and hygiene (WASH) are critical for the delivery of safe, quality health care. Yet globally, one in four health care facilities lack basic water services, putting more than 1.8 billion people at risk of infection. This session will outline the role of WASH in the health care system and provide a platform for members of the community to discuss what actions need to be prioritized in order to support countries in providing climate resilient WASH services in all health care facilities. ;"-	Introduction: Reflections on WASH from a health worker (2 min)
-	Presentation: Health system strengthening approach for WASH to improve quality care (10 minutes)
-	Country insights and reflections (10 minutes)
-	Video of First Ladies of Africa and Latin";"Health; WASH; Health care Facilities; COVID-19; System Strengthening";---;WHO, UNICEF, ACF, IFRC, World Vision, UNC (TBC);--;90';The main outcomes of this session are increased knowledge of how WASH supports health system strengthening and quality of care, and greater clarity of the role and responsibilities the WASH sector in prioritizing capital investments for ensuring all health care facilities are equipped with safe, sustainable, climate resilient WASH services. A list of key priorities and supporting resources for action will be leave participants prepared to take and will leave them with a strengthened resolve to support countries in collaborative action on standard development, monitoring, and investments for WASH in health care facilities. 
Ordinary Thematic Session;Water Security and Sanitation;1C  Reduce water-related illness and deaths ;1C3;Accelerating safely managed sanitation for health:  a road map for governance, finance, data, capacity and innovation ;Wednesday 23rd of March from 10.45H to 12.15H;Wednesday 23rd of March from 10.45H to 12.15H;Room 2;"The world is alarmingly off-track to deliver universal access to safe sanitation by 2030.  Rates of progress need to quadruple to achieve the SDG target and claim the myriad health, environmental and socio-economic benefits that come from safely managed sanitation. 
This thematic session with explore the five dimensions of the SDG6 global acceleration framework (GAF) with evidence, actions and successful cases set out in the State of the World Sanitation report.";"Keynote presentation – the State of the World’s Sanitation (WHO/UNICEF) (Project 5) (20mins) 

•	Reactions in person of by video message from stand out acceleration success stories (5mins each):
- Singapore
- India
- Nigeria or Senegal

Rapid framing presentations on sanitation related disease (10 mins each):

•	Burden of WASH related disease – WHO
•	Health sector collaboration to reduce water related disease – Cholera (GTFCC) and Neglected Tropical Diseases (NTDs) 

Panel discussion on the five Global Acceleration Framework elements (30mins)  

Moderator – Aaron Salzberg UNC (all speakers TBC)

•	Governance – regulating sanitation services 
- Peter Mutale, NAWASCO, Zambia or Yvonne Magawa ESAWAS
 
•	Finance – the economic case and increasing finance for sanitation
- Guy Hutton, UNICEF or Catarina De Albuquerque, SWA 

•	Data – Data for decision making, targeting and course correction
- Rick Johnston WHO/UNCEF JMP and/or ACF on WASH severity classification or AMCOW on regional data through the Africs Sanitation Policy Guidelines

•	Capacity – sanitation workforce needs
- Awa Daigne, World Bank or Andres Hueso, WaterAid   

•	Innovation – identifying and responding to climate risks  
- Juliet Willets, University of Technology Sydney or XXX- University of Leeds or Water youth network

Closing remarks (5mins) 
";"Sanitation
Health
Acceleration 
Policy 
Practice";"Project 5:  Global monitoring on WASH and WASH related burden of disease (SDG 6.1,6.2, 6.3 6A, 6B, 3.9)
Project 1:  Global Task Force (GTFCC) Cholera Control Road Map
Project X:  Global strategy and toolkit for WASH and Neglected tropical diseases in support of the NTD roadmap 2021-2030";WHO, UNICEF ;WHO, Action contre la Faim (ACF), UNC, Master of Public Health graduate at McMaster University, Turkish Water Institute (SUEN) , WATERAID, SEN’EAU, Croix-Rouge Française) plus other orgs most relevant;90';Participants will have a strong understanding of the status of sanitation related disease, status of coverage of safely managed sanitation services now and the level of acceleration needed to reach SDG goals.  Participant will also understand the current status of policy and financing investment in sanitation and key acceleration needed to meet SDG6.2 structured around the five elements of the SDG6 GAF - governance, finance, data, capacity and innovation.  Participant will leave motivated by positive example of rapid acceleration from history and current 
