Type of session;Session code;Date and time;Date and time2;Room;Organizer;Title of the Side Event;Keywords;Description of the session;Session length (max 60 min) / Duree de la session (max 60 min);Expected speakers;Session agenda 
Side event SE;SE1;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 1 EXPO;AFD;High Level Ministerial Dialogue on Access to Water and Sanitation Services in the Sahel;G5 Sahel | Ministers | Sahel Alliance | sectoral reforms;"Objectives:
(i) To report on the progress made in access to water and sanitation in the 5 G5 Sahel member countries;
(ii) Present the level of technical and financial mobilization of the Sahel Alliance;
(iii) Hear the vision of each Minister to accelerate mobilization for the sector.
Expected outcome: roadmaps for sector reforms to be implemented in order to meet the challenges of the sector";60';"Speakers :
- Adrien HAYE, Coordinator of the Sahel Alliance
- Didier Allély, World Health Organization
- Mr. Osward CHANDA, Director of the Water and Sanitation Department, African Development Bank
- Ms. Clara de Sousa, Director of Operations, World Bank
- Ms. Céline Robert, Director of the Water and Sanitation Division, Agence Française de Développement

Speakers :
- His Excellency ADAMOU Mahaman, Minister of Water and Sanitation of Niger
- His Excellency Alio Abdoulaye Ibrahim, Minister of Urban and Rural Hydraulics of Chad
- His Excellency Lamine Seydou Traore, Minister of Mines, Energy and Water of Mali
- His Excellency Mohamed El Hassen BOUKHREISS, Minister of Water and Sanitation of Mauritania
- Mr. Alassoun SORI, Secretary General of the Ministry of Water and Sanitation, Burkina Faso
- Ambassador Eric Yemdaogo TIARE, Executive Secretary of G5 Sahel
Moderator: Catarina de Albuquerque, President - Director Sanitation and Water for All (SWA)";"17:00 - 17:05 / Introduction
17:05 - 17:10 / State of play of water and sanitation services in the Sahel
17:10 - 17:30 / The support of the Sahel Alliance and its members for the water and sanitation sector (global action and focus on 3 emblematic projects)
17:30 - 18:00 / Continuing partnerships and moving forward: challenges for sector reforms Dialogue with the Ministers"
Side event SE;SE13;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 10 EXPO;REGION OCCITANIE;MEETING / NETWORKING OF OCCITANIA-SENEGAL ACTORS;NETWORKING | ACTORS | OCCITANIE | SENEGAL;"The Occitanie Region is present in Dakar both on the business side with its attractiveness agency and its Aquavalley competence pole, but also on the political level with its Vice-President in charge of water resources. It also has many cooperations with actors / NGOs that will be present. The side-events aims at gathering and networking the ""Occitanie family"" present in Dakar. Format: exchange + cocktail";60';To be finalized : Jean-Louis CAZAUBON - Vice President and others to be finalized.;
Side event SE;SE2;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 2 EXPO;PRCM / ONG REGIONALE;Surface water management at the watershed scale and maintenance of mangrove ecosystem services ;Mangrove | surface water | environmental flow | ecosystem services | coastal ecosystems | infrastructure impacts;"Mangroves provide multiple ecosystem services that are critical to sustaining coastal communities, such as reducing hydrodynamic stresses from currents, waves, and surges, thereby reducing erosion and flooding. In addition, mangroves provide essential services for the livelihoods of coastal communities. The session will revisit the role that mangroves can play in coastal protection in West Africa and the importance of effective management of these ecosystems. Through different presentations, the conditions for the preservation of this mangrove ecosystem will be illustrated and discussed. The session will answer the following question: What are the conditions necessary to ensure an effective role of mangroves in the protection of the coast in West Africa. This should allow to formulate some strong recommendations that can feed the results of the forum.
";60';"Moderator: Pr. Ahmed SENHOURY

Speakers: 
Audrey LEGAT (DELTARES)
Paul Tendeng (IUCN)	
Prof. Ahmed SENHOURY (PRCM)
Yakhya Gueye and Therese Musabe (WIA)

Speakers
ADAM Cesay";"1.	Opening of the session (5mn)
2.	Introduction: the role of mangroves for the protection against erosion and coastal flooding by Audrey LEGAT de DELTARES
3.	Impact of water releases from the Nangbeto dam on the assisted settlement of mangroves in the Mono Côté Togo Transfrontier Biosphere Reserve (TBR) by Dr. TENDENG
4.	Cohabitation between rice cultivation and mangrove restoration through optimal water and land management in the TRISTAO islands in Guinea by Pr. Ahmed SENHOURY
5.	The role of mangroves for protection against erosion and coastal flooding by Audrey LEGAT DETARES
6. Impact of freshwater inflow on mangrove biodiversity by Yakhya Gueye and Therese Musabe (WIACO)
7.	Discussion (15mn) - how to translate these success conditions into an effective mangrove management plan?  "
Side event SE;SE27;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 9 EXPO;Direction Assainissement/Administration;Gender in rural sanitation policies, programs and projects;People living with a disability | vulnerable people | men | women | equity;"The session is conceived as a space for exchange between participants on the gender approach and its integration in rural sanitation policies, projects and programs. 
The first step will be to present the subject and the issues it covers, to discuss the gender approach (from its institutionalization to its operationalization), and its inclusion in sanitation projects, while encouraging discussion among participants and input from the floor. A focus will be put on the Management of Menstrual Hygiene and the design of public facilities that are sensitive to it.
";60';"Panelists/Speakers: DA/DEEG/USAID ACCES/ENABEL/UN WOMEN
 Expected moderator: Gender TC/MEA ";"0 - 5 min.	Introduction/Context
5 - 10 min.	Introductory film
10 - 20 min.	Brainstorming with the audience on the question The Gender Approach: From Institutionalization to Operationalization of Gender at MEA 
20 - 40 min.	Presentations (10' each) 
DA: The case of public utilities
DA: Targeting vulnerable households in sanitation projects  
40 - 50 min.	Discussion of the presentations 
50 - 60 min.	Key messages and conclusion"
Side event SE;SE30;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 5 EXPO;Agence Panafricaine de la Grande Muraille Verte;Water Issues and Priorities in the Implementation of the Great Green Wall;Water | Sahel | GGW | Resilience | Adaptation | Climate change;The Sahel is characterized by drastic climatic conditions, recurrent droughts, land degradation, poverty, malnutrition, forced migrations. The Great Green Wall Initiative was created in response to this contact with the vision of restoring the viability of the natural capital and productive systems of the Sahelian lands and transforming them into areas of economic prosperity that are perfectly integrated into the economic fabric of the countries. The Initiative integrates the three paradigms of Restoration / Development / Security. The major challenge is the control of water resources, which necessarily implies more efficient management of this vital resource, a limiting factor in any development. The GGW countries are above the water stress threshold. A study made by the OSS in 2021 indicates that the water potential is significant with regard to the surface area of each aquifer system but is little mobilized and under-exploited. This issue deserves a high-level debate in order to obtain significant guidance as it is a key issue. The main objectives of the Side Event are to discuss the water issue in the Sahelian region and in particular in the context of the GGW. The panelists, who are high-level international experts, will address the key issues related to this resource for the Sahel and will outline the best perspectives in terms of its strategic importance, control and management, mechanisms for mobilizing potential financial resources, and possible improvements to national policies.;60';As an indication, Prof. Boubacar Barry of the 9thFME, Nabil Ben Khatra Executive Secretary of the OSS, Dr. Abdelkader Dodo of the OSS, Geoffroy Citegeste of Birdlife international, ;
Side event SE;SE36;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 3 EXPO;Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH;Progress-based finance for water security – Innovative approaches to supporting water sector framework and utility reforms;utility reforms | financing mechanisms | policy-based loans | results-based financing | operational finance ;"La gestion responsable des ressources en eau et l'accès universel à l'eau potable, à l'assainissement et à l'hygiène (WASH), tels qu'énoncés dans l'objectif de développement durable (ODD) 6, peuvent améliorer considérablement la santé publique, protéger l'environnement, réduire le risque de catastrophes (telles que celles causées par les pandémies et les événements climatiques extrêmes) et constituer le fondement d'un développement économique durable. Un cadre sectoriel favorable aux niveaux politique, institutionnel et réglementaire et des services d'eau et d'assainissement performants jouent tous un rôle essentiel dans la réalisation de la sécurité mondiale de l'eau. Pour de nombreuses sociétés d'eau dans le monde, la réalité actuelle est constituée de réglementations dysfonctionnelles et de niveaux de tarification insuffisants qui perpétuent un équilibre de faible niveau de performance. Le développement du secteur de l'eau lui-même et le développement des entreprises de services publics peuvent bénéficier de mécanismes de financement innovants, au-delà du financement des infrastructures par projet provenant des donateurs. Le financement lié à des incitations concrètes au changement est une occasion d'accélérer les réformes dans le secteur de l'eau et le redressement des opérations des services publics.
L'objectif de cette session est de partager des expériences et de recueillir des commentaires sur les mécanismes de financement innovants qui répondent aux défis mentionnés ci-dessus : Les prêts basés sur les politiques (PBL), le financement basé sur les résultats (RBF) et le financement d'entreprise pour les services d'eau et d'assainissement ("" financement opérationnel "").
Les PBL, les WOP et potentiellement l'UWCF peuvent jouer un rôle de catalyseur dans la réalisation de divers autres ODD, tels que l'ODD 3 sur la santé, l'ODD 13 sur le climat ou l'ODD 11 sur les villes et communautés durables, ainsi que d'autres programmes de développement mondiaux, tels que l'Accord de Paris sur le climat, les contributions déterminées au niveau national et le Programme d'action d'Addis-Abeba sur le financement du développement.";60';"Moderator: Katrin Gronemeier, GIZ; 
Participants: Christopher Wenzel, BMZ; Detlef Klein, KfW; Stefan Gramel/Bernd Schönewald, KfW; Dieter Rothenberger, GIZ; DGIS/Dutch Embassy";"Ignite speech (8 minutes) by Christopher Wenzel, BMZ: Progress-based finance for water security – Innovative approaches to supporting water sector framework and utility reforms

Intervention I (8 minues) by Detlef Klein, KfW / Dieter Rothenberger, GIZ: Urban Water Catalyst Fund - Operational / Corporate Finance as novel approach to support water utility turnarounds and operator partnerships

Intervention II (8 minutes) by Stefan Gramel/Bernd Schönewald tbc, KfW: Policy-based Lending (PBL) and Results-based Financing (RBF) to improve sectoral framework conditions

Structured Discussion with panelists and participants (30 minutes): Brief comments / reactions by and questions to selected panelists: 
-	Utility representative, tbc 
-	Donor representative, tbc 
-	KFW, tbc
-	GIZ, tbc
Key questions: What shall be the nature and demand of operational / corporate fi-nance as well as PBL (compared to project-based and RB finance) from the per-spective of utility and development partners?  What are challenges in implementing such type of finance?

Closing remarks (6 minutes) by DGIS/Dutch Embassy (tbc)"
Side event SE;SE4;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 4 EXPO;SOCIETE NATIONALE DES EAUX DU SENEGAL (SONES);PRACTICAL RESPONSES OF SONES TO THE DEMAND FOR DRINKING WATER IN DAKAR, NEW URBAN AREAS, AND INLAND CENTERS;Reform | Governance | Response | Innovation | Impact | Replicability;"OBJECTIVES : 
The session devoted to Practical Responses to Water Demand has the following purposes:
- outline the key elements of the evolution of the leasing contract ;
- provide an understanding of the drinking water supply situation at the development stage of the hydraulic projects to be outlined;
- share the technical responses to the demand for drinking water in the Dakar area, including the new urban areas well as the inland centers ;
- introduce the financial model of the sector and the innovative financing methods that have allowed the realization of a significant investment program, maintaining the economic equilibrium of the industry with acceptable rates ;
- explain the project management model used by SONES for the State ;
- show the improvement of the living conditions of the communities and their involvement in the participatory processes ;
- show the assumption of responsibility for equitable access to water service by all population segments living throughout the national territory.

EXPECTED RESULTS : 
The sharing of responses aims to achieve the following results :
- the critical elements of the evolution of the leasing contract are shared;
- the relevant technical solutions are shared;
- the sector's financial model and innovative financing methods are outlined;
- the governance model of the projects is accepted;
- the social impact of the projects is acknowledged;
- the technical solutions are replicable for the benefit of other communities.
";60';"Introduction: 
Mr Charles FALL, Managing Director of SONES
Speakers: 
Mr. Charles FALL, Managing Director of SONES
Mr El hadji Ada NDAO, Works Manager of SONES
Moderators :
Mr. Matar FALL, Water and Sanitation Expert, former World Bank executive
Mr Cheikh FALL, former Managing Director of SONES
";"MODERATOR 1: 5 minutes
INTRODUCTION: 10 minutes
PRESENTATION: 10 minutes
MODERATOR 2: 5 minutes
MODERATOR 2 : 5 minutes
GROUP DISCUSSIONS: 15 minutes
RESPONSES AND OUTCOME: 10 minutes

"
Side event SE;SE6;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 6 EXPO;CAF - Development Bank of Latin America -;Water Security in Latin America and the Caribbean (LAC): Finance and Governance;Water Security | Finance | Governance;With the imperative that the 9th World Water Forum will bridge between the stakeholders and between regions, without neglecting the geopolitical and cultural characteristics of each region, CAF, in coordination with the presidency and the secretariat of the WWC, carried out the Conference on Finance and Water Governance in Latin America and the Caribbean (LAC): Towards Dakar 2022. In this session will be shared the vision of LAC in terms of water gathered from the conference, concerning regional challenges and opportunities. Different stakeholders from LAC will exchange about the roadmap needed to achieve water security in the region.  ;60';"Julián Suárez Migliozzi, CAF
Ángel Cárdenas, Manager of Urban Development, CAF

Panel
•	Adrián Peña, Minister of Environment, Uruguay.
•	Jorge Werneck,  Director, Agência Reguladora de Águas, Energia e Saneamento Básico do Distrito Federal (ADASA), Brazil
•	Malena Galmarini, President, Asociación Latinoamericana de Operadores de Agua y Saneamiento (ALOAS) and President  Agua y Saneamientos Argentinos S.A. (AYSA), Argentina.
•	Alexandra Moreira      L., Secretary General, Amazon Cooperation Treaty Organization (ACTO)
•	Pedro Maranhão, National Secretary of Sanitation, Brazil
•	Carmelo Valda, Vice Minister of Water, Bolivia.

Moderator:  Franz Rojas, CAF
";"Opening (5 mins): Ángel Cárdenas, Urban Development Manager, CAF
Keynote Speaker (10 mins): Julián Suárez Migliozzi, CAF
Panel (40 mins): as indicated above
Closing (5 mins): Ángel Cárdenas, Manager of Urban Development, CAF"
Side event SE;SE8;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 7 EXPO;International Office for Water - NGO;City-basin dialogue : INBO-IWA methodological guide on cities connected to their basin;Basin-connected cities | governance;"Most of the world's population lives in cities and there will be close to 6 billion people living in urban areas by 2050. This growth creates many challenges for making cities sustainable and requires collective intelligence and action for water and environmental security. Urban growth can be an opportunity for economic development however as natural resources are limited; it is also a threat to the quality of life.

There is already a focus on sustainable cities through frameworks such as the Principles for Water Wise Cities , which emphasis the need to optimize  costs, resilience of water resources, conservation of biodiversity, etc. This includes collaborative actions to reconcile the urban water cycle with the wider water cycle which includes river and lake basins and aquifers which cities rely on for their water resources. All stakeholders must be involved in identifying and implementing appropriate and sustainable solutions for effective city-basin governance.

The International Water Association (IWA) and the International Network of Basin Organizations (INBO) are designing a handbook, a decision-making tool to strengthen the city's connection and integration with its hydrographic basin. This handbook expands on the Action Agenda for Basin-Connected Cities which reflects the current and potential issues between cities and their basins and how to deal with them by identifying the drivers for action (e.g. what are the risks?), and the possible solution pathways.  Through practical case studies, testimonials and recommendations, the handbook will illustrate how the ""urban actor"" can and must play an active role in the protection of water resources and in the reconnection of basins to their cities.

During this event INBO and IWA will outline the ambition of the handbook which targets both policy makers and technicians, and which will also aims to raise awareness among civil society and environmental groups.";60';"Eric TARDIEU, INBO Secretary General
Projects holders from the ""basin stories"" (TBC)";In progress
Side event SE;SE47;Monday 21 March, 17.30-18.30;Monday 21 March, 17.30-18.30;Room 8 EXPO;League of Arab States;"Shared Water in Africa 
and Middle East: 
Regional Cooperation to 
defuse tensions and 
share prosperity";Transboundary water | Regional Cooperation-Economic Development;"After decades of gloomy foresights and discourse on water wars and conflicts, it turns out that water wars are more a media narrative than a possible future in transboundary waters. Connecting nations socio-economic’ joint interests through cross borders development mega-projects is a leeway to shared prosperity. Water in shared basins is a real development connector. It takes political will to make the nations upstream and downstream real shareholders in dialogue and cooperation aligned with WWF9 motto, water for peace and development. It starts with re-centering the debate by valuing the benefits of cooperation on shared rivers benefits while defusing roots causes of tension and de-politicizing (or at least by reducing the politicization) of the discourse on shared water.  
The present session is a remarkable opportunity to showcase three lab cases to illustrate the potential of regional development cooperation in transboundary water: The navigation project feasibility from source to sea in the Nile River and the energy security across borders in Senegal River Basin and in Central Asia.   

Objectives : 
•	Sharing experiences on the potential of development cooperation in transboundary rivers in concrete examples. 
•	Identify the keys framework conditions for successful joint projects, in navigation and energy security, in 3 shared basins in Africa and Asia  
•	Debate on drivers of success in shared economic development and lessons learned from the three experiences.
•	Elaborate a set of guiding principles to turn risks of tension into cooperation opportunities and shift from water rights to shared right to development and prosperity.
•	Assess the limitations and potential benefits of hydro-diplomacy in trust building between upstream and downstream nations 

The session intends to answer the following questions: 
•	What should come first, political will or economic benefits in order to turn risks of tensions into opportunities for regional development?
•	What are the key drivers of success in making water a connector between nations in the three basins? 
•	What principles could guide countries to opt for joint large projects instead of disagreement on water shares.
Expected outcomes:
•	Global understanding of shared water as a driver of socio-economic development, peace and cooperation between upstream and downstream countries
•	Set the key principles guiding regional economic cooperation in shared basins";60';"?	Moderator Ambassdor Shahira Wahbi LAS 
Speakers/Panelists
?	Dr Khaled AbuZeid CEDARE Egypt; 
?	Dr. Tahani Sleet  MoWRI Egypt
?	CAREC (Regional Environment Centre for Central Asia) (TBC)
?	SADC (TBC)
?	ORMVAS Senegal (Mr. Madioudiou) Senegal 
Discussants :
?	HE Mahdi Rachid AL Hamadani Minister of Water Resources in Iraq
?	HE Minister Eng. Mazen Ghoneim Palestinian Water Authority 
?	Former Minister Dr. Hussein El Atfy AWC (TBC)
?	ACSAD-DG Mr. Naser Eddin Obaid 
Dr. Emad Adly Network of Civil Society Organizations RAED";"Opening remarks & Introuction of the session and speakers by the Moderator (5 mn)
•	Presentation by Dr. Kheled AbuZeid (CEDARE): Water availability at the basin level : River Basin (10 mn)
•	Experience of 3 basins in regional development around shared water resources (3 x 10 mn)
•	High Level  feedback from discussants 10 mn): 
•	Q and A (5 mn)"
