Type of Session;Session code;Session Title;Date and time of the session;Date and time of the session2;Room;Session Summary;Session schedule;Keywords;Convening organization and session coordinators;Duration of the session
High-Level Panel;HLP 26;Africa Focus;Tuesday 22nd of March from 10.45 to 12.15;Tuesday 22nd of March from 10.45 to 12.15;Auditorium;"The main objective of the session is to promote the Water-Energy-Food-Environment Nexus approach for a sustainable response to development needs. 
Specifically, it will aim to 
- Promote a better understanding of the water-energy-food-environment nexus concept for the development of synergies; 
- To map the relationships and mutual impacts between these different sectors;
- To bring out good practices and innovative solutions to make the Nexus approach operational; 
- Define methods of cooperation to maximize the benefits of the nexus.
At the end of the session, the following results are expected
- A good understanding of the Water-Energy-Food-Environment Nexus approach and issues;
- Good practices and innovative solutions to operationalize the Nexus approach are shared;
- Mechanisms and levers to foster cooperation between actors are identified;
- Recommendations are formulated for the various stakeholders.";"Timing Communication Speakers
9 :00 - 9 :10 Welcome and presentation of the objectives of the session: UNDP Resident Representative
9 :10 - 9 :20 Introductory presentation on the nexus approach and issues related to the water-energy-food-environment nexus Mr. Minister Abdou Fall: Facilitator 
9 :20 - 9 :30 Water resources management and climate challenges: Niokhor Diouf /DGPRE
9 :30 - 9 : 40 Sharing good practices at the international level: Expert (TBC)
9 :40 - 9 : 55 How to make operational the water-energy-food-environment nexus?
Questions/answers : Participants
9 :55 - 9 : 50 Synthesis : UNDP";Water | Energy | Food | Ecosystems | development;United Nations Development Programme;90'
High-Level Panel;HLP01;Making the invisible visible: groundwater a response for resilience and sustainability ;Tuesday 22nd of March from 9.00 to 10.30;Tuesday 22nd of March from 9.00 to 10.30;Auditorium;The High-Level Panel (HLP) is intended to be a follow up event after the plenary session of the celebration of the UN-World Water Day 2022 organized by UNESCO and UN-WATER about the topic of the UNWWDay  Groundwater: Making the invisible visible. The HLP panel will allow to organize a larger and in-depth debate about the UN Development Report 2022 that is presented the 21st of March at the opening with the participation of high-level countries representatives and high-level experts.  The HLP is meant to discuss how groundwater can be a response to water security challenges. Special attention will be paid to the implementation of SDG6 Global Acceleration Framework. The main findings of the HLP will be considered at the UN-Water Groundwater Summit to be organized 7-8 December 2022 at UNESCO HQs and a mean to support a focus on groundwater during the 2023 UN Water conference. The HLP will give special focus on investments in Groundwater in Africa and SIDS and examine how groundwater offers a potential pathway to sustain human activities and ecosystems health, with a particular focus on Africa and SIDS.  Africa, the youngest continent, needs more than other special attention to groundwater, to ensure water security for future generations.  There are 72 transboundary aquifers in Africa, that represent a potential for socio-economic development of the region.;"This HLP is a follow up of the Plenary Session of the Celebration of the UN World Water Day. Invited high-level representatives of countries and experts will deliver statements, maker presentations and debate in a panel modality. 

Moderator: Ms Alice Aureli, UNESCO 
5’-Chair: Mr Nabil Ben Khatra, Executive Secretary, Sahara and Sahel Observatory (OSS)

 High Level Statements
•	5’ Mr.  Jean Paul Adam, Director Climate Change, Natural Resource Management and Technology, United Nations Economic Commission for Africa
•	5’ Mr Sekou Sangare, Commissioner, Economic Community of West African States 
 
Presentations (15') 
The Groundwater ECOWAS MAP. A successful example of scientific cooperation: A new tool to make visible groundwater management. 
- Mr Alexis Gutierrez, French Geological Survey (BRGM), Mr Stefan Broda, Federal Institute for Geosciences and Natural Resources, Germany (BGR), Ms Brighid O Dochartaigh, British Geological Survey (BGS)
- Ms Jodie Miller International Atomic Energy Agency (IAEA)

5’ Statement: Ms Eugénie Avram, Ministère de l'Europe et des Affaires étrangères of France
 
Presentations 
•	5’ Ms Sonja Koppel, Secretary Water Convention, United Nations Economic Commission for Europe (UNECE) and Mr Aurélien Dumont, Project Officer, Intergovernmental Hydrological Programme (UNESCO IHP). Transboundary aquifers Cooperation – the main findings of the SDG 6 indicator 6.5.2.  
•	5’  Ms Karen Villholth, Coordinator GRIPP   (IWMI), Transboundary aquifers 
5’ Statement: H.E. Shawn Richards - Minister of Public Infrastructure and Urban Development at Government of St. Kitts and Nevis - Groundwater in Small Islands (Video)

Experts Panel   
Moderators: Ms Neno Kukuric (IGRAC) and Ms Michela Miletto (UNESCO WWAP)

Panellists:  (35’)
1.	Ms Concepcion Marcuello, Ministry of the Ecological Transition of Spain 
2.	Mr Gerard Payen, Vice President, French Water Partnership  (FWE)
3.	Ms Dominique Darmendrail, Programme Director Water (BRGM)
4.	Mr Eddy Moors, Rector, IHE Delft Institute for Water Education, Netherlands
5.	World Bank??
6.	Mr Abdelkader Dodo, Coordinator Water Department, (OSS)
7.	Ms Maria Salvetti, Economist and Water Policy Analyst, (OECD)  

Closing remarks
Youth participation/Young professional
Ms Alice Aureli, UNESCO IHP 

";Groundwater | SDG6 Acceleration Framework | Resilience | Cooperation / Africa ;UNESCO Intergovernmental Hydrological Programme (UNESCO-IHP);90'
High-Level Panel;HLP02;Funding and Financing Blue Peace:  – The Blue Peace Financing Initiative – How to invest in Peace through Water ;Monday 21st of March from 14.00 to 15.30;Monday 21st of March from 14.00 to 15.30;Room 205;"In 2017, the Global High-Level Panel on Water and Peace launched its report “A Matter of Survival” with recommendations on how to promote water as an instrument for cooperation and peace, including through innovative financing for water cooperation. At the 9th session (2021) of the Meeting of the Parties to the 1992 Water Convention, the UN Economic Commission for Europe (UNECE) launched the publication on Funding and Financing transboundary water cooperation and basin development, also presenting innovative Financing Initiatives, including the Blue Peace Financing Initiative.  Co-created by Basin Organisations, the Swiss Agency for Development and Cooperation (SDC), the UN Capital Development Fund (UNCDF) as the main implementing agency and other stakeholders, the Blue Peace Financing Initiative combines public and private finance to develop and implement transboundary master- and joint investment plans. It will promote access to public and private capital for Transboundary Organizations (e.g. River Basin Organizations (RBOs)). The main objective of this High-Level Panel (HLP) will be to launch the Blue Peace Financing Initiative, showing how innovative financing mechanisms can transform water into an instrument for transboundary, multi-sectoral and inter-generational cooperation frameworks, leading to peaceful societies and circular economies. 
Outcomes: It will provide a new financial incentive for countries and sectors to cooperate and establish political agreements on the sustainable management of shared resources, reducing social, political, economic and environmental risks and conflicts. Meanwhile, it will change the financial sector’s perception of water, not as a distinct sector, but as an entry-point for multi-sectoral and regional impact investment opportunities.";"Opening Session:
•	Opening and Moderation: Ms. Preeti Sinha, Executive Director, United Nations Capital Development Fund (UNCDF) – 5’
•	Keynote address:  Ms. Amina Mohammed, UN Deputy Secretary General – 5’
•	Launch of Blue Peace Financing Initiative: David Jackson, Director Local Transformative Finance Practice (LTFP), UNCDF – 5’

Panel Interventions: 
•	Challenges and Opportunities of financing transboundary water projects: High-Commissioner, Elhadj Lansana Fofana or Secretary-General Ababacar Ndao, Gambia River Basin Development Organization (OMVG) – 5’
•	Sovereign State Perspective on financing transboundary water cooperation: H.E. Mr. Njie, Minister of Finance and Economic Affairs, The Gambia – sovereign state perspective -  5’
•	Sovereign State Perspective on financing transboundary water cooperation: H.E. Mr. M. Bessler, State Secretary, Switzerland – sovereign state perspective – 5’
•	Genesis of the Blue Peace Finance Initiative: Dr. Danilo Türk, Former President of the Republic of Slovenia and Chair of the Global High-Level Panel on Water and Peace - 5’

Panel discussion: 
•	Perspective of the financial sector: Panelists and Representatives from the financial sector – 30’.
•	Question and Answers – 15’

Closing Session:
•	Summary and Closing remarks (UNCDF and/or OMVG) – 10’ 
";"Transboundary Water Cooperation | Water and Peace | Innovative Financing | Multistakeholder Cooperation Frameworks | inclusion of local communities and governments |Impact Investing  
";United Nations Capital Development Fund (UNCDF);90'
High-Level Panel;HLP03;International High-Level Panel for Water Investments in Africa: Unlocking Finance for Climate-Resilient Water Projects;Wednesday 23rd of March from 9.00 to 10.30;Wednesday 23rd of March from 9.00 to 10.30;Auditorium;"On 12 August 2021, AMCOW, in collaboration with the UNDP, UNICEF, AUDA-NEPAD, AfDB, GCA, and GWP launched a partnership to convene an International High-Level Panel on Water Investment for Africa. 

On 8 September 2021, the Executive Committee of AMCOW commended the effort of the convenors and formally adopted a Decision for the inauguration of the Panel.  

The objective of the Panel is to develop a high-level action-forcing report and investment plan for the 2023 UN Conference and African Union Heads of States with a clear pathway recommendation for African countries on how to mobilize US$30 billion/year towards the water investment gap in Africa, which is estimated at US$45-US$54 billion/year. 

The HLP event will communicate how the panel can accelerate the transformation required to scale up finance for water security in Africa and showcase ambitious initiatives to accelerate climate-resilient water investments in Africa – such as the?Continental Africa Water Investment Programme (AIP) whose goal is to leverage US$ 30 billion in climate-resilient water investments?by 2030; as well as the Africa Adaptation Acceleration Program (AAAP) that aims to mobilise $25 billion by 2025 and galvanise climate resilient actions through a triple win approach to address the impacts of Covid-19, climate change and the economy. 

Event objectives:

1.	Introduce the International High-Level Panel on Water Investments for Africa and explore perspectives for  accelerating scaled-up finance for water investments
2.	Introduce the convenors for the International High-Level Panel on Water Investments and showcase new and ongoing climate resilient water related initiatives to mobilise investments and finance
";"Depending on the confirmed speakers, the proposed session agenda is as follows:
 
5 min 	Mr Henk Ovink-Special Envoy for International Water Affairs, Kingdom of The Netherlands
•	Welcome, introduction, objective of the international High-Level Panel on Water Investments for Africa

10 mins   	H.E. President Jakaya Kikwete, Former President of Tanzania, Chair-GWPSA-Africa Coordination 

•	What change needs to take place in order to create conditions for increased investments and financing for climate-resilient water investments in Africa 

5 mins  H.E Dr. Ibrahim Mayaki, CEO, African Union Development Agency (AUDA-NEPAD) 
 
•	On 7 February 2021, the Assembly of the African Union Heads of State and Government adopted the Continental Africa Water Investment Programme (AIP) to accelerate transboundary water investments in Africa. What are the opportunities for the High-Level Panel to mobilise finance PIDA water projects?

5 mins	Hon. Carl Hermann Gustav Schlettwein, President: AMCOW

•	On 8 September 2021, the Executive Committee of AMCOW adopted a decision for the establishment of an International High-Level Panel for Africa.  How will this panel benefit Africa’s efforts to mobilise investments for water security?

5 mins  	Senior representative from GCF 

•	Water-focused projects make up for almost half of adaptation climate financing but becausefinancing for mitigation far outweighs adaptation financing, total climate financing flows directed at water initiatives amount to less than 3%. How can we change this? 

5 mins 	Prof. Dr. Patrick V. Verkooijen, CEO: GCA 

•	On 6 September 2021, together with Ban Ki-moon, 8th UN Secretary General, GCA Board Chair, Kristalina Georgieva- Managing Director of the International Monetary Fund, you convened over fifty global leaders to accelerate adaptation imperative for COP 26. What were the key messages from the leaders and how can the High-Level Panel leverage this to mobilise finance for water  adaptation?

5 mins	Dr. Pradeep Kurukulasuriya, Executive Coordinator and Director: UNDP

•	UNDP’s climate resilience portfolio in Africa is over US$1.2 billion. How can the Panel leverage the UNDP portfolio to mobilise finance at scale for water related adaptation in Africa.

5 mins	Ms. Kelly Ann Naylor, Director, Water Sanitation Hygiene: UNICEF

•	UNICEF, in association with the Global Water Partnership (GWP), developed the Strategic Framework for WASH Climate-Resilient Development. The framework has been used by over 80 countries. How can the High-Level Panel leverage this to scale up investments for climate resilience WASH in Africa?

5 mins  	Dario Soto-Abril, CEO: Global Water Partnership 

•	Global Water Partnership is actively supporting the AIP goal of leveraging US$ 30 billion/year in climate-resilient water investments?in Africa by 2030 and creating 5million jobs. Why does the AIP offer new hope for Africa and what are the opportunities within it for the global north? 

5 mins 	Osward Chanda, Ag Director, Water and Sanitation, African Development Bank
•	The Board of Directors of the African Development Bank Group has recently approved a new water policy, prioritizing water security and the transformation of water assets to foster sustainable, green and inclusive economic growth in regional member countries. How can countries and the High Level Panel leverage this policy to and mobilise investments at scale?

3 mins	Short Video interlude/presentation

25 mins	Facilitated discussion with audience

5 mins	Summary of key messages, road map for the international High-Level Panel on Water Investments 
•	Alex Simalabwi, Executive Secretary, GWPSA-Africa, Head Joint Secretariat for the Panel 

2 mins 	Moderator thanks the speakers, concludes and closes the event
•	Henk WJ Ovink-Special Envoy for International Water Affairs, Kingdom of The Netherlands
";Water investments in Africa | AIP | High-Level Panel on Water;Global Water Partnership;90'
High-Level Panel;HLP04;Water and Climate Coalition Leaders - Recipe for Successful Adaptation;Wednesday 23rd of March from 10.45 to 12.15;Wednesday 23rd of March from 10.45 to 12.15;Room 12;"Climate change is exacerbating both water scarcity and water-related hazards, as rising temperatures disrupt precipitation patterns and the entire water cycle. It is estimated that 80% of the impacts of climate change are felt through water and the crisis will only intensify in the future. 

At the United Nations Climate Change Conference, COP26, the Water and Climate Coalition Leaders issued an urgent and united call for integrated water and climate action to replace the existing fragmented and crisis-driven approach. 

In this session, the Water and Climate Coalition Leaders will provide strategic guidance on integrating the water and climate agendas (incl. the UN 2030 Agenda, the Sendai Framework, the Paris Agreement and Africa's 2063 Agenda), to maximize synergies in designing and implementing actions to achieve SDGs 6 and 13. 

They will further present and discuss with the audience the following six tangible outcomes to be proposed at the 2023 UN Water Decade Conference: 

· A globally connected water observing system 
· A new financing rationale that considers societal benefit and ecological sustainability in water and climate development 
· An explicit river basin cooperation framework for assessing and sharing benefits of water-climate adaptation and mitigation activities 
· An agreed open access process and platform that takes stock of climate and water related activites
· An International Year of Glacier Preservation in 2025 and an international mechanism to facilitate the access to accurate and timely information on cryosphere
· A methodology and process to catalyze real change on the ground";"During the event, WWF participants will have the opportunity to engage with the Water and Climate Leaders in two panel discussions. 

Opening (10 min)
Setting the scene – Mr. Gilbert Houngbo, Chair UN-Water; President IFAD

Panel discussion (40 min)
•	Integrating adaptation in the national level policy development – Mr. Komi Sélom Klassou, Past Prime Minister, Republic of Togo
•	Transboundary collaboration as a tool for adaptation – Dr. Mohamed Abdel Aty, Minister of Water Resources and Irrigation, Egypt
•	Case example – Mr. Abdelkébir Zahoud, Past State Secretary for Water and Environment, Kingdom of Morocco
•	Integrating water and climate agendas and the role of data – Mr. Howard Bamsey, Chair Global Water Partnership
•	Innovation and private sectors role in adaptation – Mr. Matthias Berninger, SVP Public Affairs & Sustainability BAYER
•	Youth participation and inclusion in the policy development – Mrs. Lindsey Blodgétt, Former President, World Youth Parliament for Water 

Q&A (5 min)

Closing (5 min)
Johannes Cullmann, Director Water and Cryosphere, WMO

Moderator of the panel discussions: Johannes Cullmann, Director Water and Cryosphere, WMO";Water and Climate Integration | Data and Information | Policy | SDG6 | SDG13 ;World Meteorological Organization;60'
High-Level Panel;HLP05;Establishment of wastewater epidemiology studies for tracking COVID-19 pandemic, extension of these studies to One –Health approach.;Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Room 12;"The session provides an opportunity to highlight the importance of using wastewater surveillance to monitor SARS-CoV-2 along with the virus variants circulating in the population. 

Key objectives:
•	The main goal is to maximize the potential of Wastewater-based Epidemiology (WBE) to ensure One Health approach by monitoring other pathogens, human exposure to environmental contaminants, biomarkers and antimicrobial resistance.

Expected outcomes:
•	The session will develop a COVID-19 WBE unified platform for all COVID-19 groups and discuss how to establish cooperation with world-wide centers of communicable diseases (e.g., ECDC, CDC, NICD, SAMRC) and global and continental health initiatives (e.g., WHO, HERA) to develop an early warning alert mechanism in case of (re-) emergence of COVID-19 or possible future pandemics. 
•	The session will provide a platform for scientific disciplines, water associations, globally active water operators and major actors to develop world-wide capacity building activities especially for low- and middle-income countries. 
•	The outcomes of the session support the following Sustainable Development Goals; 2.4, 3.3, 3.D, 6.2, 6.3, 11.6, 14.1.  
";"-	Opening by moderator (5’) 
-	
-	Opening Speech by LOÏC FAUCHON (5’) (To be invited) 

-	Short roundtable with the panelist (1’x 10 ) 
Each panelist will introduce himself/herself and initiatives 

-	1st question from the moderator Answers from 4 Panellists (3’x4)

-	2nd question from the moderator Answers from 4 Panellists (3’x4)

-	3rd question from the moderator Answers from 4 Panellists (3’x4)

-	Moderator asks the room for questions to speakers -Q&A (15’)

-	Closing comments from each panelist (1’x10)

-	Closing  by moderator (5’)

*Remote connections of the speakers will be allowed. 
";Wastewater surveillance | COVID-19 tracking | SARS-CoV-2 | WBE (Wastewater Based Epidemiology) | mutant variant tracking | wastewater reuse | one health | public health ;Turkish Water Institute (SUEN);90'
High-Level Panel;HLP06;The Road to the UN 2023 Water Conference;Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Auditorium ;"Tajikistan and the Netherlands will co-host the UN 2023 Water Conference and they are committed to make it a watershed moment for the entire world. Aline with this commitment, they jointly with Senegal organize the high-level session on the UN 2023 Water Conference in the framework of the 9th World Water Forum to attract more attention and promote stakeholder’s engagement in the preparatory process and the Conference itself.

The High-Level Session on UN 2023 Water Conference is a showcase and interactive event on good examples of international cooperation on water management. The most important measures towards a sustainable future are to be taken within the water sector. There is a good opportunity to showcase examples and discuss steps needed to replicate, scale and learn from these examples towards the UN 2023 Water Conference.

Since the UN 2023 Water Conference is the 2nd ever and the 1st after almost 50 years conference convened by the UN expectation of the global community from it is very high. It envisaged to be a watershed moment for all around the world. 
";"XX:30-XX:35	Introduction to the side event
Moderator
Sulton Rahimzoda
Chairman of the Executive Committee of the International Fund for saving the Aral Sea, Special Envoy of the President of Tajikistan to the High-Level Panel on Water and Climate 
 
XX:35-XX:50	Opening remarks by co-organizers (5 minutes each)
•	High-level representative of the Government of the Republic of Tajikistan
•	Mr. Mark Habers, (TBC) Minister of Infrastructure and Watermanagement of the Kingdon of the Netherlands
•	High-level representative of the Government of the Republic of Senegal

XX:50-XX:05	Presentation on UN 2023 Water Conference
Representative of UNDESA/UN-Water (tbc)

XX:05-XX:40	High-Level Segment (High-level representatives)
1)	National ministries;
2)	Regional and local authorities;
3)	Intergovernmental organizations;
4)	Private sector;
5)	Etc.

XX:40-XX:15	Expert Panel Discussion
1)	Financial Institutions; 
2)	NGOs;
3)	Private sector;
4)	Major groups;
5)	Scitific community/academic institutions.

XX:15-XX:25	Questions and answers

XX:25-XX:30	Summary and conclusion
Henk Ovink,
Special Envoy for International Water Affairs of the Kingdom of the Netherlands

";Water and climate | UN 2023 Water Conference;Republic of Tajikistan, The Kingdom of the Netherlands, Senegal;90'
High-Level Panel;HLP07;Protection of Water and Water Infrastructure Before, During and After Armed Conflict;Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Room 11;"This panel is an important milestone for ensuring better protection of water and water infrastructure, before, during and after armed conflicts. With the support of the Swiss Confederation, the Geneva Water Hub invites you to contribute to the discussion on the occasion of the 9th World Water Forum in Dakar.
About two billion people live in areas affected by armed conflicts, where destruction of water infrastructure is increasingly common. As detailed in the ICRC’s Urban Services and UNICEF’s Water Under Fire reports, the consequence on the most vulnerable communities is severe. When water and sanitation services are disrupted water-borne diseases and epidemics proliferate. To advance the protection of these communities, the Geneva Water Hub has developed the Geneva List of Principles on the Protection of Water Infrastructure. While the main focus of this document is the clarification of norms of international humanitarian law applicable to water infrastructure,   the Geneva Principles also aim at enhancing cooperation on installations located on transboundary water resources in peace time and the protection of the human rights to water and sanitation at all times. This High-Level Panel will provide a unique opportunity to explore cross-sectoral linkages between the SDG 6 on water and sanitation and SDG 16 on peace. 


";"Opening: Minister of Water and Sanitation of Senegal, H.E. Serigne Mbaye Thiam (tbc) – 5’
Keynote 1: Examples from Slovenia - Minister of Foreign Affairs of the Republic of Slovenia, H.E. Anže Logar (tbc) – 5’
Keynote 2: Examples from Iraq - Minister of Water Resources of Iraq, H.E. Mahdi Rashid Al Hamdani (confirmed) - 5’

Panel discussion: How policy initiatives can help in protecting water in armed conflicts?  40’
Vice-President of the ICRC, H.E. Gilles Carbonnier (tbc) – Challenges on the protection of water and water infrastructures in the humanitarian sector: a practical view  
Executive Director of UNICEF, H.E. Catherine M. Russell (tbc) – The Water Under Fire agenda and the challenges related to its implementation on the ground 
Director the Geneva Water Hub, Prof. Mark Zeitoun (confirmed) – The Geneva List of Principles on the Protection of Water Infrastructure and its political and policy implications 

Moderation & Concluding words (action points / next steps): Ministry of Foreign Affairs of Switzerland, Federal Department of Foreign Affairs of Switzerland, H.E. Manuel Bessler, State Secretary, Delegate of the Federal Council for Humanitarian Aid (confirmed)-5’
";International Law | Cybersecurity | Humanitarian aid | Peacebuilding | Early recovery ;Geneva Water Hub / Think tank, Center of the University of Geneva;90'
High-Level Panel;HLP08;Charting water for COP27;Tuesday 22nd of March from 10.45 to 12.15;Tuesday 22nd of March from 10.45 to 12.15;Room 10;The Session will focus on the political commitment to clearly include water in the COP27 negotiation and recognize its pivotal role and contribution to both adapt and mitigate to global climate change. A major goal of the Session is to bring water management scientific knowledge and advances closer to public policies formulation and decision-making. In addition to sharing knowledge, there is the ambition of establishing a political commitment, through the presence of high level national and International authorities, together with Development Agencies and Scientific Community, highlighting the importance of a long term recognition of water resources management's specific contribution of the climate processes. The Session will also enable discussing the need of creating roadmaps and action plans, able to influence political agendas of different countries in aspects, such as, food security, water tenure and monitoring, with a special focus to the One Health approach.;"-	Moderation by Sasha Koo-Oshima, Deputy Director FAO Land and Water Division
-	Welcome and introduction (3-5’) by Mr Li Lifeng, Director FAO Land and Water Division
-	Keynote address by Jennifer Sara, Global Director for the World Bank Group's Water Global Practice (8’)
-	High Level Panel on the charting water for COP 27 (35’):
       o      Bahrain Minister of water (tbc)
       o	Indonesia, President of G20 (speaker tbd)
       o	Mr Barron Orr, UNCCD Chief Scientist (tbc)
       o	Ms Ismahane Elouafi, FAO Chief Scientist
       o	Mr Giovanni Muñoz, EIB
-	Key messages and Conclusion (5’) by Jean-Marc Faures (FAO)";water | climate change | agriculture | food security;FAO (International organization);60'
High-Level Panel;HLP09;State of the World’s Land and Water Resources for Food and Agriculture 2021 (SOLAW 2021);Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Room 10;"Water, land and soil resources are the sources of life, without which there is no agriculture. With 98% of the food consumed produced on land/soil and the immediate and visible impact of drought on crop production, the good state of these crucial natural resources should be everyone's priority. In 2011, FAO published its first comprehensive report on the status of the world’s land and water resources for food and agriculture (SOLAW 2011). This new edition of SOLAW update the previous status of the resources, review the trends and explore the new emerging global processes.
The objective of the session is to raise awareness about the status of land and water resources and provide high level profiles with key data to meet the challenges of sustainable use and governance of these natural resources, their greater integration in food systems and climate change.";"-	Welcome and introduction (5’)
-	Video animation on “The State of the World’s Land and Water Resources for Food and Agriculture 2021” (5’)
-	Keynote address “Presentation of SOLAW 2021: main findings and recommendations” by Mr Lifeng Li, Director of United Nations Food and Agriculture Organization (FAO) Land and Water Division (15’)
-	High Level Panel on the momentum for land and water safekeeping (30’) moderated by by Sasha Koo-Oshima, Deputy Director Land and Water Division:
       o	Mr Gilbert F. Houngbo, President of the International Fund for Agricultural Development and Chair of UN-Water
       o	H.E. Mariam Almheiri, Minister of Climate Change and Environment, UAE
       o	Mr Moussa Baldé, Ministry of Agriculture and Rural Infrastructure (MAER) of Senegal (tbc)
       o	Ms Akissa Bahri, Agriculture Minister of Tunisia, SOLAW independent advisory committee
       o	Mr Pieter Waalewijn, Senior Water Resources Management and Irrigation Specialist, World Bank (World Bank)
-	Key messages and Conclusion (5’)  by Sasha Koo-Oshima
";Land | Water | food security | agriculture;FAO (International organization);90'
